"","tree.ID","fern_ID","fern.size","height","max.leaves.width","Leaf.length.1","Leaf.length.2","Leaf.length.3","nest.width","nest.length","nest.height","nest.weight","litter.and.leaves.weight","dry_mass","pH","leaf_length_mean","nest_volume","DBH"
"1",13,"1","S",4.2,52,31,34,39,16,11,18,240,90,89.07,4.17,34.6666666666667,3168,30.6
"2",12,"2","M",3.43,112,62,60.5,60,17.5,11,14,280,310,112.89,4.1,60.8333333333333,2695,43.3
"3",16,"3","S",3.5,96,50,58,59,15.5,9,16,210,190,75.46,3.99,55.6666666666667,2232,40.4
"4",18,"4","S",3.57,68,36,42,38,11,6.5,12,90,45,40.11,3.75,38.6666666666667,858,44.8
"5",18,"5","M",3.75,113,68,63,69,20,11.5,16,380,205,146.2,3.99,66.6666666666667,3680,44.8
"6",15,"6","S",5.26,85,34,52,47,15,10,12,240,130,89.27,3.99,44.3333333333333,1800,36.2
"7",15,"7","L",3.37,163,70,79,72,20,15,21,600,480,350.51,4.295,73.6666666666667,6300,36.2
"8",15,"8","M",3.5,112,48,59,52,15,9,11,205,160,104.22,4.42666666666667,53,1485,36.2
"9",5,"9","L",4.87,190,90,112,126,34,25,33,4120,2380,1450.88,4.445,109.333333333333,28050,36.1
"10",3,"10","L",3.48,153,80,83,92,18,14,21,790,690,201.67,4.22,85,5292,45.1
"11",2,"11","L",5.7,157,81,77,76,26,17.5,22,1320,850,492.8,4.135,78,10010,43.4
"12",7,"12","L",3.33,153,94,90,62,18,13,22,1060,680,332,4.5,82,5148,35
"13",1,"13","L",3.2,226,89,99,105,22,21,27,2770,2330,943.16,4.57,97.6666666666667,12474,34.6
"14",1,"14","S",6.15,89,47,44,43,10,15,11,160,150,57.15,4.3,44.6666666666667,1650,34.6
"15",8,"15","S",3.76,56,31,33,32,10,11,11,110,80,43.62,4.15,32,1210,21.4
"16",10,"16","S",6.72,83,44,44,36,12,17,11,110,130,50.46,4.42,41.3333333333333,2244,27
"17",4,"17","M",6.42,116,64,65,59,12,17,14,180,300,124.17,4.24666666666667,62.6666666666667,2856,56.3
"18",20,"18","S",6.33,84,46,41,48,14,14,10,NA,NA,NA,NA,45,1960,24.3
"19",27,"19","L",5.35,165,82,84,98,18,26,17,1400,1020,416.43,4.86,88,7956,35.7
"20",28,"20","M",2.95,128,65,62,78,14,20,18,480,440,187.99,4.35333333333333,68.3333333333333,5040,37.7
"21",18,"21","S",9.85,78,40,41,38,9,16,12,120,130,59.57,4.4,39.6666666666667,1728,44.8
"22",17,"22","L",3.71,161,98,83,93,12,24,23,1510,1500,512.31,4.67,91.3333333333333,6624,38.2
"23",26,"23","M",6.7,145,81,63,73,9,20,14,470,470,187.74,4.58,72.3333333333333,2520,41.5
"24",12,"24","M",3.1,91,49,46,38,9,13,16,150,200,84.97,3.93333333333333,44.3333333333333,1872,43.3
"25",NA,"25","L",3.64,130,92,96,99,19,26,23,1700,2360,558.54,4.6875,95.6666666666667,11362,NA
