"","Df","SumOfSqs","R2","F","Pr(>F)"
"phy@sam_data$layer",3,1.07143299860532,0.10655154593851,1.31678830551615,0.059
"phy@sam_data$pH",1,0.531955496602294,0.052901749906194,1.96131567132822,0.0065
"phy@sam_data$C_N",1,0.586658066696348,0.0583417946107329,2.16300361077555,0.0029
"Residual",29,7.86549030683031,0.782204909544563,NA,NA
"Total",34,10.0555368687343,1,NA,NA
"phy@sam_data$layer1",3,1.10405109109921,0.114988167677704,1.42591140522097,0.0217
"phy@sam_data$pH1",1,0.448777548619942,0.0467406883854631,1.73882448958184,0.0191
"phy@sam_data$C_N1",1,0.563921202498396,0.0587330299409767,2.18495778167606,0.0018
"Residual1",29,7.48468231725224,0.779538113995856,NA,NA
"Total1",34,9.6014321594698,1,NA,NA
"phy@sam_data$layer2",3,1.0490342678224,0.122038512893151,1.5363064789902,0.0144
"phy@sam_data$pH2",1,0.470302593108001,0.0547122537682537,2.06626878560664,0.0075
"phy@sam_data$C_N2",1,0.475912982884944,0.0553649337103021,2.09091796560494,0.007
"Residual2",29,6.60067813787729,0.767884299628292,NA,NA
"Total2",34,8.59592798169264,1,NA,NA
"phy@sam_data$layer3",3,0.977947749241107,0.115807944175398,1.44258856370055,0.0213
"phy@sam_data$pH3",1,0.458336275742313,0.0542758873118889,2.02830060264891,0.0049
"phy@sam_data$C_N3",1,0.455134302002326,0.0538967116387312,2.01413073303524,0.0071
"Residual3",29,6.55314699367952,0.776019456873982,NA,NA
"Total3",34,8.44456532066527,1,NA,NA
